Gesture_Video_File_Name,Gesture_Name,Output_Label
T2-H-9.mp4,1,1
T2-H-SetThermo.mp4,Decrease Fan Speed,10
T3-H-6.mp4,1,1
T3-H-FanOff.mp4,1,1
T3-H-LightOn.mp4,1,1
T2-H-FanOff.mp4,FanOff,12
T1-H-LightOn.mp4,Decrease Fan Speed,10
T2-H-8.mp4,1,1
T3-H-4.mp4,8,8
T2-H-7.mp4,Increase Fan Speed,13
T2-H-6.mp4,5,5
T3-H-1.mp4,0,0
T1-H-DecreaseFanSpeed.mp4,SetThermo,16
T1-H-8.mp4,8,8
T3-H-8.mp4,5,5
T3-H-0.mp4,SetThermo,16
T1-H-4.mp4,SetThermo,16
T2-H-5.mp4,SetThermo,16
T3-H-5.mp4,4,4
T2-H-3.mp4,Increase Fan Speed,13
T1-H-6.mp4,SetThermo,16
T3-H-SetThermo.mp4,SetThermo,16
T3-H-FanOn.mp4,Increase Fan Speed,13
T3-H-2.mp4,4,4
T1-H-LightOff.mp4,FanOff,12
T3-H-LightOff.mp4,Decrease Fan Speed,10
T1-H-9.mp4,2,2
T2-H-LightOff.mp4,0,0
T1-H-FanOn.mp4,0,0
T2-H-1.mp4,Increase Fan Speed,13
T1-H-7.mp4,2,2
T3-H-IncreaseFanSpeed.mp4,1,1
T2-H-4.mp4,SetThermo,16
T2-H-IncreaseFanSpeed.mp4,SetThermo,16
T1-H-2.mp4,2,2
T3-H-9.mp4,SetThermo,16
T1-H-FanOff.mp4,1,1
T1-H-5.mp4,1,1
T2-H-2.mp4,Increase Fan Speed,13
T1-H-1.mp4,1,1
T3-H-DecereaseFanSpeed.mp4,Decrease Fan Speed,10
T2-H-DecreaseFanSpeed.mp4,SetThermo,16
T1-H-3.mp4,1,1
T1-H-SetThermo.mp4,0,0
T1-H-IncreaseFanSpeed.mp4,0,0
T1-H-0.mp4,SetThermo,16
T2-H-LightOn.mp4,2,2
T3-H-3.mp4,Increase Fan Speed,13
T2-H-FanOn.mp4,2,2
T3-H-7.mp4,Increase Fan Speed,13
T2-H-0.mp4,Increase Fan Speed,13
